Pre-Prod No.;Client;Description;Artwork required;STATUS;Comments;Artwork Received;Sent Proof for WT_SP;Sent Proof to Client;Proof Approved (Conventional);Ordered Plates;Plates Arrived;Ordered Foil Block;Foil Block Arrived;Quoted;Spec Supplied
15167;RG Cosmetics;Inuka Always With You Dark Blue 45ml (ITW15145);;Closed;;30.01.2019;27.09.2019;30.09.2019;01.10.2019;01.10.2019;02.10.2019;-;-;;
15168;The Concord Group;Palmshave Shaving Cream - Lime;;;-;;;;;;;-;-;;
15169;The Concord Group;Palmshave Shaving Cream - Regular;;;-;;;;;;;-;-;;
15170;Olgani;Mineral Rich Evening 75ml EU Spec;;;-;;;;;;;-;-;;
15171;Olgani;Herbal Refreshing Toothpaste 75ml EU Spec;;;-;;;;;;;-;-;;
15172;Datlabs;25gr Germstop Ointment ;;;-;;;;;;;-;-;;
15173;Tbac;40ml Mini Amber B5 PET Bottle;;;-;;;;;;;-;-;;
15174;RG Cosmetics;Inuka Always With You Grey 45ml (ITW15145);;Closed;;27.05.2019;27.09.2019;30.09.2019;01.10.2019;01.10.2019;02.10.2019;-;-;;
15175;Geve Phytogenetics;Night Moisturiser 50ml;;;-;;;;;;;-;-;;
15176;Geve Phytogenetics;Hand Cream 75ml;;;-;;;;;;;-;-;;
15177;Geve Phytogenetics;Dry Skin Moisturiser 50ml;;;-;;;;;;;-;-;;
15178;Mentholatum;Happy Event Antenatal Massage Lotion 50ml;;Closed;;17.09.2019;01.10.2019;01.10.2019;10.10.2019;10.11.2019;15.10.2019;-;-;;
15179;Mentholatum;Happy Event Firming Cream 50ml;;Closed;;17.09.2019;01.10.2019;01.10.2019;10.10.2019;10.11.2019;15.10.2019;-;-;;
15180;Mentholatum;Happy Event Antenatal Massage Lotion Fragrance Free  50ml;;Closed;;17.09.2019;01.10.2019;01.10.2019;10.10.2019;10.11.2019;15.10.2019;-;-;;
15181;Chet Chemicals;1.5 Lt Chet Bleach Bottle - Black - RHDPE;;;-;;;;;;;-;-;;
15182;Chet Chemicals;750ml Chet Blech Bottle - Black RHDPE;;;-;;;;;;;-;-;;
15183;Aloe Ferox;Aloe Ferox Timeless 24 50ml;;;-;;;;;;;-;-;;
15184;Aloe Ferox;Aloe Ferox Timeless 24 M + 50ml;;;-;;;;;;;-;-;;
15185;Fulvimed;Fulvi Ban Skin and Wound Care Gel Natural Antibiotic 25g;;;-;;;;;;;-;-;;
15186;Justine;Justine Tissue Oil Active Repair - Blue 100ml  (1x box);;;-;;;;;;;-;-;;
15187;Justine;Justine Tissue Oil Active Repair Green 100ml  (1x box);;;-;;;;;;;-;-;;
15188;Justine;Justine Tissue Oil Sleep 100ml  (1x box);;;-;;;;;;;-;-;;
15189;Saradox;GS Time On Your Hands Provitamin B5, Keratin & Avocado Oil 75ml;;;-;;;;;;;-;-;;
15190;Geve Phytogenetics;Normal / Oily Skin Day Moisturiser 50ml;;;-;;;;;;;-;-;;
15191;Geve Phytogenetics;Normal / Oily Skin Night Moisturiser 50ml;;;-;;;;;;;-;-;;
15192;Saradox;GS Bee Natural Wild Honey, Shea Butter & Vanilla Yoghurt 75ml;;;-;;;;;;;-;-;;
15193;Zeta Laboratories;Mouthwash White PET Bottle 500ml;;;-;;;;;;;-;-;;
15194;Bowler CT;33 F/T B/O with 2mm and 4mm Orifice mould;;;-;;;;;;;-;-;;
15195;Libstar;WW CSD S/Free Gingerbeer PET Bott 440ml  Labelled;;;-;;;;;;;-;-;;
15196;Libstar;WW CSD S/Free Lemonade PET Bott 440ml  Labelled;;;-;;;;;;;-;-;;
15197;Libstar;WW CSD S/Free Passionacde PET Bott 440ml  Labelled;;;-;;;;;;;-;-;;
15198;Saradox;Bee Natural Foot Cream 100ml;;;-;;;;;;;-;-;;
15199;RCL;500ml Sauce Bottle  Light Weight 27gr;;;-;;;;;;;-;-;;
15200;Customised Cosmetics;Four Twenty Hand Lotion 50ml;;;-;;;;;;;-;-;;
15201;Pharmaforce;Go- Pain Arnica Gel 100g;;;-;;;;;;;-;-;;
15202;Cos Q;Motley Crew Whassup Face Cream 100ml;;;-;;;;;;;-;-;;
15203;Cos Q;Motley Crew Peace Mode Hair Gel 150ml;;;-;;;;;;;-;-;;
15204;Cos Q;Motley Crew Rock Hard Gel 150ml;;;-;;;;;;;-;-;;
15205;Cos Q;Motley Crew Glo Up face Wash 150ml;;;-;;;;;;;-;-;;
15206;HLS Industries;Black Ink Body Lotion;;;-;;;;;;;-;-;;
15207;HLS Industries;Black Ink Body Wash;;;-;;;;;;;-;-;;
15208;ZA Natural Care;Saffron Aloe Ferox 75ml;;;-;;;;;;;-;-;;
15209;Global Grinders;GG PET Bottle 250ml;;;-;;;;;;;-;-;;
15210;Botle Buhle;Big Ball R/O Bottle Para Silver 877c;;;-;;;;;;;-;-;;
15211;Botle Buhle;Female Big Ball R/O Bottle Para Beige 8003cc;;;-;;;;;;;-;-;;
15212;Catwalk;Magnolia 45ml;;;-;;;;;;;-;-;;
15213;Sh'zen;Sh'zen Revitalizer For Feet 75ml;;Closed;SIP;;;;;;;-;-;;
15214;Cape Aloe Exports;Plain Tube 75ml ;;;-;;;;;;;-;-;;
15215;Brummer Adhesives;Wood Filler Jar Black Cherry 250g;;Closed;;11.10.2019;11.10.2019;14.10.2019;28.10.2019;29.10.2019;31.10.2019;-;-;;
15216;Brummer Adhesives;Wood Filler Jar Black 250g;;Closed;;11.10.2019;11.10.2019;14.10.2019;28.10.2019;29.10.2019;31.10.2019;-;-;;
15217;Brummer Adhesives;Wood Filler Jar Black Mahogany 250g;;Closed;;11.10.2019;11.10.2019;14.10.2019;28.10.2019;29.10.2019;31.10.2019;-;-;;
15218;Brummer Adhesives;Wood Filler Jar Dark  Oak 250g;;Closed;;11.10.2019;11.10.2019;14.10.2019;28.10.2019;29.10.2019;31.10.2019;-;-;;
15219;Brummer Adhesives;Wood Filler Jar Imbuia 250g;;Closed;;11.10.2019;11.10.2019;14.10.2019;28.10.2019;29.10.2019;31.10.2019;-;-;;
15220;Brummer Adhesives;Wood Filler Jar Oregon Pine 250g;;Closed;;11.10.2019;11.10.2019;14.10.2019;28.10.2019;29.10.2019;31.10.2019;-;-;;
15221;;;;;-;;;;;;;-;-;;
15222;ZA Natural Care;Saffron Sense Hyrdating Mask 75ml ITW15208;;Closed;;26.11.2019;26.11.2019;26.11.2019;27.11.2019;27.11.2019;28.11.2019;-;-;;
15223;ZA Natural Care;Saffron Sense Saffron Gel 75ml TW15208;;Closed;;14.11.2019;19.11.2019;19.11.2019;21.11.2019;21.11.2019;22.11.2019;21.11.2019;26.11.2019;;
15224;ZA Natural Care;Saffron Sense Hand and Nail Cream 75ml TW15208;;Closed;;14.11.2019;19.11.2019;19.11.2019;21.11.2019;21.11.2019;22.11.2019;-;-;;
15225;Sh'zen;Shzen Cuticle Cream For Hands 20ml;;;-;;;;;;;-;-;;
15226;Alco ;Alco Colour Rush 125ml;;;-;;;;;;;-;-;;
15227;Cherry Ink Group;Kissink Lipbalm 7ml;;Closed;;21.08.2019;17.10.2019;17.10.2019;29.10.2019;29.10.2019;30.10.2019;-;-;;
15228;Sh'zen;Sh'zen Harmonising Cleansing gel 200ml;;Closed;SIP;;;;;;;-;-;;
15229;ZA Natural Care;Natures Skincare Pramie Aloe Gel 75ml;;Closed;;07.10.2019;28.10.2019;28.10.2019;29.10.2019;29.10.2019;31.10.2019;-;-;;
15230;Catwalk;Magnolia Hand and Nail 75ml;;;-;;;;;;;-;-;;
15231;J.Knight Agencies;Slip N Sheen Darkens Grey Hair Cream Jar 100ml;;Closed;;07.10.2019;16.10.2019;16.10.2019;17.10.2019;18.10.2019;21.10.2019;-;-;;
15232;J.Knight Agencies;Slip N Sheen Grown Hair & Darkens new Hair Jar 100ml;;Closed;;07.10.2019;16.10.2019;16.10.2019;17.10.2019;18.10.2019;21.10.2019;-;-;;
15233;Genop Healthcare;Epimax Cream All Purpose 400g Jar - IML;;Closed;SIP;15.10.2019;15.10.2019;15.10.2019;16.10.2019;16.10.2019;16.10.2019;-;-;;
15234;Genop Healthcare;Epimax Junior /Baby Cream 400g Jar -IML;;Closed;SIP;15.10.2019;15.10.2019;15.10.2019;16.10.2019;16.10.2019;16.10.2019;-;-;;
15235;Genop Healthcare;Epimax Cream Plus 400g jar -IML;;Closed;SIP;15.10.2019;15.10.2019;15.10.2019;16.10.2019;16.10.2019;16.10.2019;-;-;;
15236;Genop Healthcare; Jar Weight 450ml Lt Weight - Standard - IML;;;-;;;;;;;-;-;;
15237;Acorn Pharmaceuticals;Tabard Mosquito and Insect Repellent stick 30ml;;Closed;;14.10.2019;22.10.2019;24.10.2019;29.10.2019;30.10.2019;01.11.2019;-;-;;
15238;Acorn Pharmaceuticals;Tabard Mosquito and Insect Repellent 50ml;;Closed;;14.10.2019;22.10.2019;25.10.2019;29.10.2019;30.10.2019;01.11.2019;-;-;;
15239;Acorn Pharmaceuticals;Tabard Mosquito and Insect Repellent HDPE 150ml;;Closed;;14.10.2019;22.10.2019;25.10.2019;29.10.2019;30.10.2019;01.11.2019;-;-;;
15240;Quality Pickles;Quality Pickles PET 38mm Neck 340ml - mould;;;-;;;;;;;-;-;;
15241;Catwalk;Delta cap - Lavender;;;-;;;;;;;-;-;;
15242;Bio Earth Man.;Skin Deep 50ml ;;;-;;;;;;;-;-;;
15243;Sea Spirit Trading 243 cc;Shower Gel 60ml;;;-;;;;;;;-;-;;
15244;Sea Spirit Trading 243 cc;Hand & Body Lotion 60ml;;;-;;;;;;;-;-;;
15245;Environ Skin Care;Environ Skin Essentia Hydrating Clay Masque 50ml;;Closed;;18.09.2019;18.10.2019;18.10.2019;23.10.2019;23.10.2019;24.10.2019;-;-;;
15246;Creighton Prod.;Island Tribe SPF50 Light Lotion 150ml;;Cancelled;;17.10.2019;18.10.2019;18.10.2019;;;;-;-;;
15247;Shield Chemicals;1lt Trigger PET - Unprinted;;;-;;;;;;;-;-;;
15248;WBMED (PTY) Ltd;Basix Skin Defence Cream with Kigelia Africana 50ml;;;-;;;;;;;-;-;;
15249;Bio Earth Man.;Skin deep 50ml see 15242;;;-;;;;;;;-;-;;
15250;Diageo South Africa;Smirnoff PET 200ml;;;-;;;;;;;-;-;;
15251;Shield Chemicals;Air Scents PET Bottle 350ml 25g;;;-;;;;;;;-;-;;
15252;Fulvimed;FulviRex Athletes Foot & Antifungal cream 25g;;;-;;;;;;;-;-;;
15253;Nativa;Jointeze Warming Gel 75ml;;;-;;;;;;;-;-;;
15254;Genop Healthcare;Epimax Man Cream 400g;;;-;;;;;;;-;-;;
15255;Amka Products;PET Green Bottle;;;-;;;;;;;-;-;;
15256;Consumer / Tiger;Ingrams Hemp Oil Cream 500g;;;-;;;;;;;-;-;;
15257;Consumer / Tiger;Ingrams Hemp Oil Cream 500g;;;-;;;;;;;-;-;;
15258;Consumer / Tiger;Ingrams Rooibos 500g;;;-;;;;;;;-;-;;
15259;Consumer / Tiger;Ingrams Rooibos 500g;;;-;;;;;;;-;-;;
15260;Consumer / Tiger;Ingrams Sensitive Cream 500g;;;-;;;;;;;-;-;;
15261;Consumer / Tiger;Ingrams Sensitive Cream 500g;;;-;;;;;;;-;-;;
15262;Canway;IQ Ultra Rich Day Cream 15ml;;Closed;-;29.10.2019;08.11.2019;12.11.2019;13.11.2019;13.11.2019;15.11.2019;-;-;;
15263;Nativa;Crampese Gel 50g;;Closed;;09.10.2019;02.12.2019;03.12.2019;05.12.2019;06.12.2019;10.12.2019;-;-;;
15264;Catwalk;Even Tone Face Wash 90ml;;;-;;;;;;;-;-;;
15265;The Lash Collection;Lash Gel Cleanser 50ml;;Closed;;22.10.2019;01.11.2019;04.11.2019;08.11.2019;08.11.2019;12.11.2019;08.11.2019;13.11.2019;;
15266;Bowler CT;100ml Glycerine Pet Bottle;;;-;;;;;;;-;-;;
15267;Aloe Ferox;Aloe Ferox Classic Facial Mask - 50ml;;;-;;;;;;;-;-;;
15268;Aloe Ferox;Aloe Ferox Spotless Crème - 50ml;;;-; ;;;;;;-;-;;
15269;Aloe Ferox;Aloe Ferox Hand Cream - 150ml;;;-;;;;;;;-;-;;
15270;Aloe Ferox;Aloe Ferox heel Balm - 150ml;;;-;;;;;;;-;-;;
15271;Aloe Ferox;Aloe Ferox Aloe Ferox Moisturiser 4 Him - 150ml;;;-;;;;;;;-;-;;
15272;Aloe Ferox;Aloe Ferox Timeless Cleanse - 100ml;;;-;;;;;;;-;-;;
15273;Aloe Ferox;Aloe Ferox Cleansing Cream - 150ml;;;-;;;;;;;-;-;;
15274;Justine;Dailycare Perfecting Foaming Cleanser 150ml;;Closed;;01.11.2019;04.11.2019;05.11.2019;13.11.2019;13.11.2019;15.11.2019;-;-;;
15275;Justine;Dailycare Hydrating Cream Cleanser 150ml;;Closed;;01.11.2019;04.11.2019;05.11.2019;13.11.2019;13.11.2019;15.11.2019;-;-;;
15276;Justine;Dailycare Balancing Foaming Cleanser 150ml;;Closed;;01.11.2019;04.11.2019;05.11.2019;13.11.2019;13.11.2019;15.11.2019;13.11.2019;15.11.2019;;
15277;Health Classique;Sahara SPF 50ml;;;-;;;;;;;-;-;;
15278;Justine;Oil Control Spot Clearing Gel 20ml;;Closed;;01.11.2019;12.11.2019;12.11.2019;22.11.2019;22.11.2019;25.11.2019;22.11.2019;29.11.2019;;
15279;Justine;Justine Oil Control Deep Cleansing Face Wash 200ml;;Closed;;01.11.2019;12.11.2019;12.11.2019;22.11.2019;22.11.2019;25.11.2019;22.11.2019;29.11.2019;;
15280;Justine;Justine Oil Control Anti Blemish Facial Scrub 150ml;;Closed;;01.11.2019;12.11.2019;12.11.2019;22.11.2019;22.11.2019;25.11.2019;22.11.2019;29.11.2019;;
15281;Justine;Justine Oil Control Menthol Mud Mask 150ml;;Closed;;01.11.2019;12.11.2019;12.11.2019;22.11.2019;22.11.2019;25.11.2019;22.11.2019;29.11.2019;;
15282;Justine;Justine Skin Management For Men Triple Action Foaming Face Wash 150ml;;Closed;;01.11.2019;12.11.2019;12.11.2019;26.11.2019;26.11.2019;27.11.2019;-;-;;
15283;Justine;Justine Skin Management For Men Soothing Moisture Balm SPF15 50ml;;Closed;;01.11.2019;12.11.2019;12.11.2019;26.11.2019;26.11.2019;27.11.2019;-;-;;
15284;Justine;Honey Herbal Ageless Hand Night Serum;;Closed;;01.11.2019;12.11.2019;12.11.2019;20.11.2019;20.11.2019;22.11.2019;20.11.2019;26.11.2019;;
15285;Justine;Honey Herbal Hand Treatment 50ml;;Closed;;01.11.2019;12.11.2019;12.11.2019;20.11.2019;20.11.2019;22.11.2019;20.11.2019;26.11.2019;;
15286;Justine;Honey Herbal Soothing Hand Scrub 50ml;;Closed;;01.11.2019;12.11.2019;12.11.2019;20.11.2019;20.11.2019;22.11.2019;20.11.2019;26.11.2019;;
15287;Eezysun;Clicks Sun Protect SPF50 Baby & Kids Lotion 50ml;;;-;;;;;;;-;-;;
15288;ZA Natural Care;Natures Skincare Pramie Aloe & Honey Mask 75ml;;Closed;;28.10.2019;05.11.2019;06.11.2019;08.11.2019;08.11.2019;12.11.2019;-;-;;
15289;Capri-chem;Boston Round 500ml 24/410 Neck;;;-;;;;;;;-;-;;
15290;Canway;Coppelia Man 200ml;;Closed;;30.08.2019;06.11.2019;07.11.2019;13.11.2019;13.11.2019;18.11.2019;-;-;;
15291;Comafrica Marketing;B/B R/O Cap Para - Blue - ;;;-;;;;;;;-;-;;
15292;Comafrica Marketing;B/B R/O Cap Para - Red;;;-;;;;;;;-;-;;
15293;Comafrica Marketing;B/B R/O Cap Para - Blue on hold same as 15389;;;-;;;;;;;-;-;;
15294;Comafrica Marketing;B/B R/O Cap Para - Pink;;;-;;;;;;;-;-;;
15295;Bowler CT;38mm F/T B/O Mould with 2mm + 4mm Orifice Mould;;;-;;;;;;;-;-;;
15296;Bowler CT;48mm F/T B/O Mould with 2mm  + 4 mm Orifice Mould;;;-;;;;;;;-;-;;
15297;Bowler CT;33mm F/T B/O Cap Mould with 2mm + 4mm Orifice Mould;;;-;;;;;;;-;-;;
15298;Shield Chemicals;350ml Air Scent PET Bottle (JHB Code);;;-;;;;;;;-;-;;
15299;Rolfe Lab.;Lemongrass Hand and Nail 60ml;;;-;;;;;;;-;-;;
15300;Rolfe Lab.;Frangipani Hand and Nail Cream 60ml;;;-;;;;;;;-;-;;
15301;Rolfe Lab.;Body Material Vanilla Hand and Nail Cream 60ml;;;-;;;;;;;-;-;;
15302;Avroy Shlain;Skin Solutions Charcoal Mask 50ml;;Closed;;06.08.2019;06.11.2019;06.11.2019;06.11.2019;28.11.2019;29.11.2019;-;-;;
15303;Justine;Justine Tissue Oil Nourishing Shampoo 250ml;;Closed;SIP;;;;;;;-;-;;
15304;Zanele Health and Beauty Care Solutions;ZQ Aloe Soft Touch 250ml;;Closed;;04.11.2019;07.11.2019;14.11.2019;19.11.2019;20.11.2019;22.11.2019;-;-;;
15305;Health Classique;Epimol - B Baby & Junior Cream 150g;;;;;;;;;;;;;
15306;Health Classique;Epimol - B AP Cream 150g;;;;;;;;;;;;;
15307;Biologic Pharm;White tube 50x180/4 LDPE ;;;;;;;;;;;;;
15308;Saradox;Skin Radiance African Baobab Moisture Lock Hand Cream74ml;;;;;;;;;;;;;
15309;Saradox;OSB Laundry Pre Treatment 150ml;;;;;;;;;;;;;
15310;Saradox;350-500ml J Lid - Blue;;;;;;;;;;;;;
15311;Saradox;GS PJ Jar 350ml - Black;;;;;;;;;;;;;
15312;Saradox;GS PJ Lid 350ml - Black;;;;;;;;;;;;;
15313;Chet Chemicals;PnP Dish Wash Bottle 1.5Lt 50% RPET+50%PET;;;;;;;;;;;;;
15314;Chet Chemicals;Bell Bottle PnP Green 100% RPET 500ml;;;;;;;;;;;;;
15315;Chet Chemicals;Bell Bottle W/W (Ef) 25% RPET + 75% PET 500ml;;;;;;;;;;;;;
15316;Glamit;Boston Round 175ml;;;;;;;;;;;;;
15317;Cipla;100ml HDPE Round Bottle;;;;;;;;;;;;;
15318;Revlon SA;Flex Shampoo Cap 250ml _ prl Jade;;;;;;;;;;;;;
15319;TBAC;Mini 40ml B5 Grey 100% RPET (Cancelled);;;;;;;;;;;;;
15320;TBAC;Mini 40ml B5 Natural 100% RPET;;;;;;;;;;;;;
15321;TBAC;Mini 40ml B5 Amber 100% RPET;;;;;;;;;;;;;
15322;TBAC;Mini 32ml B5 NAtural 100% RPET;;;;;;;;;;;;;
15323;Justine;Tissue Oil Nourishing Body protector 150ml;;Closed;;11.11.2019;13.11.2019;13.11.2019;25.11.2019;25.11.2019;26.11.2019;;;;
15324;Amka Products;PET Glitter Bottle 200ml Tall;;;;;;;;;;;;;
15325;CT Toiletry CO;Handwash Amber 250ml RPET Handwash (drop Shoulder) 50% RPET;;;;;;;;;;;;;
15326;Shield Chemicals;Shield Tile Cleaner 1Lt - Purple;;;;;;;;;;;;;
15327;Shield Chemicals;Shield Tile Cleaner 1Lt - Green;;;;;;;;;;;;;
15328;Shield Chemicals;Shield Tile Cleaner 1Lt - Blue;;;;;;;;;;;;;
15329;Catwalk;Wintergreen Menthol HotGel 25ml;;;;;;;;;;;;;
15330;Catwalk;Bramley Best For Feet 75ml;;;;;;;;;;;;;
15331;Global Grinders;GG Clear PET 250ml;;;;;;;;;;;;;
15332;Charlotte Rhys;Clear PET Bottle 50ml - Drawing;;;;;;;;;;;;;
15333;Saradox;OSB Laundry Pre Treatment 150ml;;;;;;;;;;;;;
15334;The Lash Collection;M Lashes 50ml;;;;;;;;;;;;;
15335;Lamicare;Vetlomar 75ml;;;;;;;;;;;;;
15336;Shield Chemicals;Shield Tile Cleaner Cap - Blue;;;;;;;;;;;;;
15337;Shield Chemicals;Shield Tile Cleaner Cap Red;;;;;;;;;;;;;
15338;Shield Chemicals;1lt Splash White Bottle (ITW 15326);;;;;;;;;;;;;
15339;Shield Chemicals;1lt Black Shampoo & Conditioner Bottle (ITW 15326);;;;;;;;;;;;;
15340;Cre'me Classique;Facial Moisturiser 100ml;;;;;;;;;;;;;
15341;Chet Chemicals;Thick Bleach red Glove 750ml - Yellow - Labelled;;;;;;;;;;;;;
15342;Prime Products;O'ri CC Skin Anti Age Cream - 50ml;;;;;;;;;;;;;
15343;Prime Products;O'ri CC Enviro Protector SPF30 - 50ml;;;;;;;;;;;;;
15344;Rolfe Lab.;Body Material Jasmine Hand and Nail Cream 60ml;;;;;;;;;;;;;
15345;Rolfe Lab.;Field Of Flowers Hand and Nail Cream 60ml;;;;;;;;;;;;;
15346;Rolfe Lab.;Wild Fig Hand and Nail Cream 60ml;;;;;;;;;;;;;
15347;Chet Chemicals;Thick Bleach Red Glove 750ml Blue - Labelled;;;;;;;;;;;;;
15348;Chet Chemicals;Thick Bleach Red Glove 750ml Green - Labelled;;;;;;;;;;;;;
15349;Shield Chemicals;Shield Tile Cleaner Cap - Natural  (ITW 15326);;;;;;;;;;;;;
15350;Justine;Tissue Oil Nourishing Conditioner 250ml;;;;;;;;;;;;;
15351;Prime Products;Justine Skin Management For Men Foaming Shave Gel 150ml;;Closed;;22.11.2019;25.11.2019;25.11.2019;28.11.2019;29.11.2019;02.12.2019;;;;
15352;Marico;Cavil Oil Moisturiser Spray Soft And Smooth 250ml;;;;;;;;;;;;;
15353;Chet Chemicals;Bell Bottle PnP Green 100% RPET 500ml;;;;;;;;;;;;;
15354;Shield Chemicals;1Lt Shield Tile Cleaner Bottle;;;;;;;;;;;;;
15355;Comafrica Marketing;R/O Cap B/B para - Purple;;;;;;;;;;;;;
15356;Serendipity;Tube 50x180/10 LDPE Natural;;;;;;;;;;;;;
15357;Serendipity;Tube 50x180/10 LDPE Natural;;;;;;;;;;;;;
15358;Bowler CT;Preform 42g Fast Reheat Husky Clear 1881 Neck;;;;;;;;;;;;;
15359;Bowler CT;Preform 42g Fast Reheat Husky Light Amber 1881 Neck;;;;;;;;;;;;;
15360;Bowler CT;Preform 42g Fast Reheat Husky Green 1881 Neck;;;;;;;;;;;;;
15361;Bowler CT;Preform 42g Fast Reheat Husky Clear with 25% RPET1881 Neck;;;;;;;;;;;;;
15362;Bowler CT;Kiwi Shoe Cream PET Mould Modification;;;;;;;;;;;;;
15363;Yungskin;Foiled Face Wash 100ml;;;;;;;;;;;;;
15364;Root 4;Root 4 Sunscreen 250ml;;;;;;;;;;;;;
15365;Root 4;Root 4 Sunscreen 250ml;;;;;;;;;;;;;
15366;Mentholatum;Venus Cap - Glyco Green 3405c;;;;;;;;;;;;;
15367;Mentholatum;Venus Cap - Glyco Green 360c;;;;;;;;;;;;;
15368;Mentholatum;Venus Cap - Glyco  Pink 178c;;;;;;;;;;;;;
15369;Mentholatum;Venus Cap - Glyco Blue 311c;;;;;;;;;;;;;
15370;Mentholatum;Venus Cap - Glyco  Orange 137c;;;;;;;;;;;;;
15371;Mentholatum;Venus Cap - Glyco  Red 1805c;;;;;;;;;;;;;
15372;Kool a Chem;Kool A Sun SPF40 150ml;;;;;;;;;;;;;
15373;Kool a Chem;Kool A Sun SPF 40 100ml;;;;;;;;;;;;;
15374;Rolfe Lab.;Endangered Paradise For Her Para R/O Bottle;;;;;;;;;;;;;
15375;Rolfe Lab.;Endangered Paradise For Her Big Ball R/O cap;;;;;;;;;;;;;
15376;Rolfe Lab.;Endangered Paradise For Him Para R/O Bottle;;;;;;;;;;;;;
15377;Rolfe Lab.;Endangered Paradise For Him Big Ball R/O cap;;;;;;;;;;;;;
15378;HLS Industries;African Oasis Foot Lotion 100ml;;;;;;;;;;;;;
15379;HLS Industries;African Oasis Foot Scrub 100ml;;;;;;;;;;;;;
15380;Rain Africa;Rain Africa 50ml - Plain Tube;;;;;;;;;;;;;
15381;Rain Africa;Rain Africa 60ml - Plain Tube;;;;;;;;;;;;;
15382;Rain Africa;Rain Africa 100ml - Plain Tube;;;;;;;;;;;;;
15383;Rolfe Lab.;Black Tube 300ml - Unprinted;;;;;;;;;;;;;
15384;Rolfe Lab.;White Tube 300ml - Unprinted;;;;;;;;;;;;;
15385;Innovative Water Care;FMBF French Marine Floater Body Small White Assembly- Sleeved;;;;;;;;;;;;;
15386;Amka Products;B/B R/O Cap Para - Eventone - Gold ;;;;;;;;;;;;;
15387;Amka Products;B/B R/O Cap Para - Sensitive - Red ;;;;;;;;;;;;;
15388;Comafrica Marketing;B/B R/O cap Dk Blue / cancelled duplicate of 15291 ITW 15291;;;;;;;;;;;;;
15389;Comafrica Marketing;B/B R/O cap Dk Blue 312c Match Label ITW 15291;;;;;;;;;;;;;
15390;Innovative Water Care;BBTSPF24 French Blue Tech Floater Body Small White Assembly - Sleeved + Label;;;;;;;;;;;;;
15391;Innovative Water Care;BTSPF French Blue Tech Floater Body Small White Assembly - Sleeved + Label;;;;;;;;;;;;;
15392;Innovative Water Care;FGSPF French Marine Floater Body Small White Assembly - Sleeved + Label;;;;;;;;;;;;;
15393;Innovative Water Care;PSPF Polish Floater Body Small White Assembly - Sleeved + Label;;;;;;;;;;;;;
15394;Innovative Water Care;FSPF French MArine Floater Body Small White Assembly - Sleeved + Label;;;;;;;;;;;;;
15395;Innovative Water Care;FHTH  French Blue Tech Floater Body Small White Assembly - Sleeved + Label;;;;;;;;;;;;;
15396;Innovative Water Care;GSPF German  MArina Floater Body Small White Assembly - Sleeved + Label;;;;;;;;;;;;;
15397;Global Grinders;GG Shaker bottle 200ml ( Redraw - Size ) 28g;;;;;;;;;;;;;
15398;Wazoogles Superfood Pty;Natural Taxi Jar 500g T/Lock;;;;;;;;;;;;;
15399;Wazoogles Superfood Pty;500g Taxi lid Black;;;;;;;;;;;;;
15400;Unilever;One Step Cap - White;;;;;;;;;;;;;
15401;USN;USN Winners Edge Naartjie Crush 500ml;;;;;;;;;;;;;
15402;Revlon SA;Flex Cap - Prl Purple 2665c;;;;;;;;;;;;;
15403;Revlon SA;Flex Cap - Prl Green 7480c;;;;;;;;;;;;;
15404;Revlon SA;Flex Cap - Prl Pink 1785c;;;;;;;;;;;;;
15405;Revlon SA;Flex Cap - Prl Turquoise 638c;;;;;;;;;;;;;
15406;Revlon SA;Flex Cap - Prl Blue 285c;;;;;;;;;;;;;
15407;Tiger (Filler Prime);750ml Thin Bleach Jeyes Bottle Grown Sample;;;;;;;;;;;;;
15408;Le-Sel;Zahara Perfumed Body Cream 100ml ;;Closed;;18.12.2019;19.12.2019;19.12.2019;09.07.2020;09.07.2020;13.07.2020;;;;
15409;Le-Sel;Cantare Perfumed Body Cream 100ml ;;Closed;;18.12.2019;19.12.2019;19.12.2019;;;;;;;
15410;Le-Sel;Wisteria Perfumed Body Cream AC 100ml;;Closed;;21.02.2020;21.02.2020;21.02.2020;27.02.2020;27.02.2020;03.03.2020;;;;
15411;Justine;Tissue Oil Gold Hand & Nail Cream 50ml;;Closed;;18.12.2019;19.12.2019;19.12.2019;21.01.2020;22.01.2020;23.01.2020;22.01.2020;28.01.2020;;
15412;Justine;Tissue Oil Skin Repair Face Crem SPF20 For All Skin Types AC 30ml;;Closed;;18.12.2019;19.12.2019;19.12.2019;10.02.2020;10.02.2020;12.02.2020;10.02.2020;13.02.2020;;
15413;Boshoff Brands;516ml Vode Motion PET Bottle;;;;;;;;;;;;;
15414;Afriplex;24/410 Screw Cap , No Thrustym with  Epe & Induction Liner;;;;;;;;;;;;;
15415;Canway;OSH Cap  Tnt Coral Pink 177c;;;;;;;;;;;;;
15416;Canway;OSH Cap Coral Pink 176c;;;;;;;;;;;;;
15417;Root 4;Root 4 Sunscreen 250ml ITW 15364;;;;;;;;;;;;;
15418;Global Grinders;Boston PET 24mm neck 30ml Adjusted Drawing;;;;;;;;;;;;;
15419;Environ Skin Care;Rad Even More Sun + Antioxidant Sun Cream SPF15;;Closed;;16.03.2020;16.03.2020;16.03.2020;29.05.2020;29.05.2020;04.06.2020;29.05.2020;;;
